question,answer
생후 106일 아기 욕조 고민이요 ㅜㅜ,온다베이비플러스 욕조 하나로 썼어요 사이즈가 넉넉해서 좋더라구요
딤플 초음파검사 경희의료원vs한양대,경희의료원이요 저희애도 그랫고 서울대랑 세브란스 잡앗는데 세브란스 빨라서 갓더니 이상없대서 오래 기다리는 서울대는 취소햇어요
돌반지 5년전과 지금의 차이로 서운한게 맞을까요,돌반지는 그렇다치고 비슷한 금액으로 성의표시도 안한걸까요? 아직 돌잔치는 안했어요 곧 다가오는데 너무 미리 서운해진거겠죠? 성의표신 아마 할거에요!! 꼭 그친구한테 아니더라도 다른 좋을일이 님이랑 님 아이에게 돌아올꺼에요. 마음 너무 서운해하시지 않으시길.. 이런사람 있으면 저런사람 있듯 다른 좋은일이 생기겠죠! 예쁜 토닥임 너
아기랑 나가니까 바닥에 장애물이 너무 많아요,"바닥이 파여있거나 구조물이 망가져있으면 시청,구청에 신고하세요!"
아기랑 여행을 가는게 맞을까요?,['입원까지 권유받을 정도면 여행은 취소하시는 게 좋지 않을까요..세돌 넘어도 힘들 거 같은데 돌지난 아이라 더더욱요~']
안양 벨라산후조리원 대만족 후기:),컨디션 잘 회복하시고 나오세요~!
단유 시작했는데 싱숭생숭해요ㅜ,이유식 시작하고부터가 모유수유 가 훨씬 편해지는데 굳이 단유하시는이유가 있을까요..?ㅠㅠ 제가 산전육휴로 육아휴직을 5개월 당겨써서요ㅜ 복직하기 직전에 단유하다가 안되면 난감할거 같아서 여유있게 하려고 했는데 이렇게 쉽게 될줄은 몰랐네요 ㅎㅎㅎ 저도 단유하고서 싱숭생숭 했어서 공감되네요
9개월 아기 밤에 깨서 쪽쪽이 찾아요.,"9개월 아기의 쪽쪽이는 14개월쯤에 무난하게 떼어도 괜찮습니다. 구강 변형도 없었고 좋았던 경험이 있었습니다. 4개월부터는 좀 꼭지가 긴 것을 선호하는 경우도 있으니 참고하시면 좋을 것 같습니다. 자연스럽게 떼어지도록 하고, 잘 잘 때가 오도록 힘내세요!"
105일 뒤집기 성공 되집기 언제하나요?,"뒤집기 성공 후 되집기는 105일에 할 수 있습니다. 뒤집기가 성공하고 나면 뒤집기가 어려워지고, 밥 먹을 때나 잘 때 빼고 뒤집으려 하며 토하고 울기도 합니다. 이런 상황은 일반적이며, 뒤집거나 앉거나 세워달라는 행동을 할 수 있습니다.유튜브 고박사의 소아물리학 채널에서 뒤집기되집기 운동을 매일 해보세요."
16개월 아기 음악에 집착하는데요…,"흥 많은 아기들 있어요 너무 걱정 안하셔도 될거 같아요 저희 아기 돌 지나고 딱 그맘때 노래만 나오면 바운스바운스 춤 엄청 췄어요 그때 한참 춤 출시기인거 같아요 , 한가지 음악에 집착하는것도 아니고 소리만 나오면 춤추는거 너무 귀엽지 않나요"
9개월에 갑자기 입면이 힘든 아기 있나요..,['9갤이 딱 원더윅스 겹챠 그런 시기래요 저도 고생 엄청 하고 계속 같이 자주고 했는데 10갤 넘어가니 괜찮아졌어용 존버하세요\n헐 원윅이 또 4개월에 개고생했는데 또 시작인가보네요\n아 우리 아기도 그랬어요 밤잠 낮잠 모두 눕히고 잘자~ 하고 나오면 혼자 자는 아기인데 눕혀놓고 나오려고 하면 울고 칭얼대고 한동안 같이 누워
먹을때마다 똥을 싸는 아기,아가가 건강한 것 같아서 전 좋은데요.
영양제,['저는 영양제보다 골고루 먹이는게 더 중요하다고 생각해서 영양제는 아연 비타민디 유산균만 다 합쳐진 바이오메라 먹이고 먹는걸 신경써주고 있어요 잘 먹는게 낫다고 생각해서 간도 좀 하고 김밥김에 소고기장조림이랑 야채 넣어서 작게 김밥으로 만들어주는거 잘 먹어서 안 먹을 땐 그렇게 자주 주고 후리카케도 종류별로 사서 매번 다르게 주
이름 선택해주세오~,첫째이름은 뭐예요? 이름이 불렀을때 힘들지.않은게 좋을것같아요 예찬이가 좀 더 부르기 쉬운것같아용
7~8개월 아기들 막수 언제 먹구 잠드나요?,9시쯤 막수하고 재워요
