question,filtered_answer
"생후 106일 아기 욕조 고민이요 ㅜㅜ 오늘로 106일 아기 여태 센스 대야2개로 목욕 시키고 있는데 통이 이젠 꽉 차는 느낌이어서 바꿔주려고하는데 뭐가 좋을까요?!
온다베이비랑 슈너글 많이 사용하는 것 같은데 요런거 사도 2개는 필요한가요?
만약 그렇다면 언제까지 두개씩 써야하나요 ㅜㅜ?!",온다베이비플러스 욕조 하나로 썼어요 사이즈가 넉넉해서 좋더라구요
"딤플 초음파검사 경희의료원vs한양대 신생아때 딤플 소견 있다고 들었고
접종하러 갈때마다 살 잘 차올랐으니 크게 문제 없을거다 하셨는데 오늘 2차 영유아검진 때 큰 문제는 없는 것 같은데 초음파 받아보고 마음편하게 있는게 어떻겠냐고
검진 검사표에 딤플 소견 의뢰서를 써주셨어요.
털이 나거나 항문에서 멀거나 다리를 잘 못쓰거나
그런 증상들은 없기는 한데요..
경희의료원 내일오전 vs 한양대 8/23
으로 진료 가능한 날짜가 차이가 제법 나요ㅠ
한양대가 예약이 많은걸 보니 한양대로 갈까 싶다가도
심각할 정도로 안좋은건 아닌 것 같아
그냥 얼른 검사받고 속시원하게 있는게 나은가 싶고요..
혹시 경희의료원이나 한양대에서 딤플 초음파검사 해보신 분 있나요?",경희의료원이요 저희애도 그랫고 서울대랑 세브란스 잡앗는데 세브란스 빨라서 갓더니 이상없대서 오래 기다리는 서울대는 취소햇어요
"돌반지 5년전과 지금의 차이로 서운한게 맞을까요 친한 친구가 5년전 첫째를 출산했어요.
친척언니도 2년전쯤 애를 출산해 조카에 대한 관심, 아기에 대한 관심이 조금 더 생겼는데요.
친한 친구다보니 더 관심이 가고 친척언니보다도 더 신경써주게 되더라구요.
돌때 돌반지(한돈)도 해줬구요. 제겐 처음으로 챙겨준거라 좀 더 의미가 갔나봐요.
그 친구는 20년도에 둘째를 출산하고 둘째기도 하고 코로나 시기에 돌잔치는 안했지만 그래도 축하의 의미로 반돈 금수저를 해줬어요.
어느덧 제가 아기를 낳아 돌잔치를 할 예정인데요.
고민이라며 제게 털어놓은 상담은 돌반지를 해주기 부담스럽다는 얘기였어요.
금 값이 많이 치솟아서 버거울거라 생각은 했지만.. 막상 못해준다는 소릴 직접 듣고나니 서운하더라구요.. 앞에서 계속 미안하다고 하니 서운함을 표시하긴 어려웠어요.
금이 그때 20만원이 지금 50만원이 된건 안타깝지만 그만큼 받은 금의 가치는 올라갔을텐데..라고 남편이 넌지시 말하는데 저도 그 생각은 했지만 주변에서 금을 받았음 해주는게 도린데라며 자꾸 그런소릴하니 괜찮다고 다독였던 마음도 자꾸 서운해지네요.
축하하는 의미로 해줬고 받으려고 해준건 아니라지만..
아이둘 키우며 버거운거 백번 이해하는데 자꾸 서운함이 스믈스믈 올라와요ㅠㅠㅠㅠㅠㅠ
제게 좋은 말로 다독여주실 수 있을까요..?",돌반지는 그렇다치고 비슷한 금액으로 성의표시도 안한걸까요? 아직 돌잔치는 안했어요 곧 다가오는데 너무 미리 서운해진거겠죠? 성의표신 아마 할거에요!! 꼭 그친구한테 아니더라도 다른 좋을일이 님이랑 님 아이에게 돌아올꺼에요. 마음 너무 서운해하시지 않으시길.. 이런사람 있으면 저런사람 있듯 다른 좋은일이 생기겠죠! 예쁜 토닥임 너
"아기랑 나가니까 바닥에 장애물이 너무 많아요 평소에 다닐때는 몰랐는데 유모차 끌고 다니니까
정말 많이 느껴지는 거 같아요ㅜㅜ
얼마전까지 당근으로 산 절충형 유모차에
신생아 전용 악세서리 달고 다녔는데,
너무 흔들리는 것 같은 거에요…
엄청나게 흔들어야 흔들림 증후군?이 온다고 하지만
아무래도 아이한테 진동이 너무 심하니까..
저희 집 앞에 공원을 가려면 꼭 지나야 하는 길이 있는데
거기가 너무 울퉁불퉁해서 진짜 하나 새로 사야겠다는
생각이 들더라구요..
그래서 세미 디럭스 제품 샀는데
진짜 바퀴도 우람하니 커다래서 울퉁불퉁해도
스무스하게 가는걸 보고 너무 감격스러웠어요..
얼마전에는 갑자기 길에 구멍이 움푹 파여있어서 식겁했는데
유모차가 지켜줘서 다행이 별 문제 없었네요ㅎㅎ
다들 바닥 확인 잘하세요ㅠㅠ","바닥이 파여있거나 구조물이 망가져있으면 시청,구청에 신고하세요 !!
마자요 공원같은데가도 생각보다 길이 울퉁불퉁해서 힘들더라구요 턱도 높고... 유모차 끌기전에는 생각도 못해봤어요 ㅠㅠ 휠체어 타시는분들도 힘들겠다 싶더라구요..
맞아요,,ㅜㅜ 휠체어도,,,
그러니까요ㅠㅠ저도 요즘 절실히 공감합니다.. 얼마전에는 공"
"아기랑 여행을 가는게 맞을까요? 14개월된 아기 키우고 있어요
아기 낳고 첫 여름 휴가로 제주도 잡아 놧었는데 2박 3릭 27/ 28/ 29
아이가 기침해서 병원 데리고 가니 폐렴끼 초기 증상이 있다네요
화욜입원해서 3박4일입원했다가 퇴원시켜 준다는데 의사선생님이 ..
여행 취소 하는게 났겠죠? 가는게 나을까요 ...
취소 수수료도 있고 2년만의 여행이라 너무 가고 싶긴해요 ..
가서 고생하는것보단 취소가 낫겟죠?",['입원까지 권유받을 정도면 여행은 취소하시는 게 좋지 않을까요..세돌 넘어도 힘들 거 같은데 돌지난 아이라 더더욱요~']
"안양 벨라산후조리원 대만족 후기:) 안녕하세요~ 7월 말 경 예정일이었지만 6월 말에 조산하고 이용한 벨라산후조리원 내돈내산 후기입니다.
일단 초산모인 저는 작년12월, 임신 13주차 쯤 산후조리원을 검색해보고, 알아보기 시작하다가 남편직장과 가깝기도 하고, 자연 속에 있는 벨라산후조리원을 원픽으로 바로 상담후 계약까지 완료 하였습니다.
여러 이벤트가 있었던 임신기간을 지나 제가 고위험산모로 분류되어 조리원 이용을 할까 말까 망설였는데, 산모배려를 너무 해주시는 조리원덕분에 완전 이용해야겠다 생각하고 36주에 긴급제왕 후 아이는 니큐에 두고 혼자 1주일 이용하였어요.. ㅠㅠ
혼자와도 씩씩하게 잘 지낼 줄 알았는데 생각보다 마음이 슬펐는데, 맛있는 밥 먹고 날씨 좋은 여름이기도 하여 산책도 하며 마사지도 받고 하니 기분과 몸 회복이 되더라구요! 건강하고 씩씩해야 아이를 잘 돌볼수 있으니 혼자 1주일 잘 조리하다 퇴소 한 후, 아이가 금방 니큐에서 퇴원하여 함께 1주일 다시 들어와있습니다.
둘째가 찾아오면 다시 올 벨라산후조리원의 장점을 적어보자면,
1번; 맛있는 식사와 간식 :)
미역국 맛집이에요~ 산모가 꼭 챙겨먹어야 하는 미역국 너무 맛있어서 항상 국먼저 비웠던거 같아요 ㅎㅎ 채소도 다양하고, 아침엔 생선반찬 점심 저녁엔 다양한 단백질 고기반찬 과 간식으로 두유 및 과일주스, 죽 스프 등 맛있게 잘 먹고갑니다!
2. 다양한 시설
황토방에 골반교정기랑 온열기 있어서 땀 뺄 수 있고용:)
제가 1일1회 하였던 파라핀기로 손목 잘 지키고 가요 ㅋㅋ 항상 산모님들이 많이 이용하는 부분인거같아요~
아침에 혈압, 체온 잴 수 있었고 아기침대랑 바운서 방에 있어용 ㅎㅎ
3. 편안한 침대
잠자리가 일단 너무 편했습니다~ 라텍스 라클라우드 리클라이너 침대는 아픈 제왕한 부위를 너무 지켜줄 수 있는 소중템 ㅠㅠ 남편도 마약침대라면서 집보다 더 잠 많이자고 가는 것 같아요.. ㅋㅋ
4. 마사지
산전마사지 받자마자 생각 든 .. 꼭 마사지는 최대로 받아야겠다~ 하고 가장 비싼 vvip코스로 했습니당 ㅋㅋ 마사지 꼭 풀로 받으시길 추천드립니다ㅠㅠ 붓기는 초장에 빼야 효과있는거 아시죵? 90분 코스가 많아서 똑같은 일상으로 지루할 수 있는 조리원 생활중에 낙이었습니다:) 마사지선생님들 감사해용 ㅎㅎ
여~러 일들이 많았던 임신출산기간을 조리원으로 마무리하며 이제 진짜 엄마가 되어야 한다는 부담감이 있는데, 잘 쉰 조리원 생활을 원동력으로 하여 열심히 해봐야겠습니당!!!
모든 임산부님들 화이팅입니다>_<
** 내돈내산 후기입니다!",컨디션 잘 회복하시고 나오세요~!
"단유 시작했는데 싱숭생숭해요ㅜ 이유식 시작하면 단유해야지~ 하는 맘으로 모유수유 하다 이유식 시작하고 일주일 지나서 단유 시작했어요
남편은 잘자고 저 혼자 새벽수유 하고 그럴때는 단유할 날만 생각했는데...
단유 시작전에는 젖병거부로 조리원 원장님한테까지 연락해서 방법 물어봤거든요?
이게 왠걸... 단유 시작 날짜 잡은 날부터는 젖병으로 잘 먹네요?
한번에 분유로 넘어가면 안되니 유축해서 서서히 분유 늘려가려는데....
이제는 제가 아쉬워요ㅜㅜ
가슴 만지던 손, 꿀떡꿀떡 먹는 소리...
아기한테 혼란 주면 안될거 같아서 맘 굳게 먹고 있긴한데... 단유 시작 3일차 만에 아침에 단단해서 아프던 가슴이 안아프니까 단유가 잘 되가는 과정인거 같은데 괜히 싱숭생숭하네요ㅜ
산전육휴 안써서 돌지나고 복직이었음 그냥 돌까지 먹이고 단유 했을거 같아요 ㅋㅋㅋㅋㅋ
단유하면 맥주먹어야지!!! 했는데....
이렇게까지 제가 아쉬워하고 기분이 싱숭생숭할지는 몰랐네요 ㅋㅋㅋㅋㅋ
단유하면서 다들 겪는 과정일까요?
장마라 날씨도 우중충하고... 괜히 센치해져서 그런가 하며 주절주절 하고 갑니다ㅎㅎ","이유식 시작하고부터가 모유수유 가 훨씬 편해지는데 굳이 단유하시는이유가 있을까요..?ㅠㅠ
제가 산전육휴로 육아휴직을 5개월 당겨써서요ㅜ 복직하기 직전에 단유하다가 안되면 난감할거 같아서 여유있게 하려고 했는데 이렇게 쉽게 될줄은 몰랐네요 ㅎㅎㅎ
저도 단유하고서 싱숭생숭 했어서 공감되네요"
"9개월 아기 밤에 깨서 쪽쪽이 찾아요. 그냥 계속 물리면서 재우고 있는데
쪽쪽이는 언제 떼야 할까요?","9개월 아기의 쪽쪽이는 14개월쯤에 무난하게 떼어도 괜찮습니다. 구강 변형도 없었고 좋았던 경험이 있었습니다. 4개월부터는 좀 꼭지가 긴 것을 선호하는 경우도 있으니 참고하시면 좋을 것 같습니다. 자연스럽게 떼어지도록 하고, 잘 잘 때가 오도록 힘내세요!"
"105일 뒤집기 성공 되집기 언제하나요? 105일에 뒤집기 성공하고나서는
진짜 뒤집기 지옥이에요
밥먹을때 잘때빼고 뒤집을라하고요
그러고 토하고 울고
원래 이맘때는 다 이런가요?...
등센서 심해서 전에도 안누워있더니
뒤집어 있거나 앉아있거나 세워달라해요","뒤집기 성공 후 되집기는 105일에 할 수 있습니다. 뒤집기가 성공하고 나면 뒤집기가 어려워지고, 밥 먹을 때나 잘 때 빼고 뒤집으려 하며 토하고 울기도 합니다. 이런 상황은 일반적이며, 뒤집거나 앉거나 세워달라는 행동을 할 수 있습니다.유튜브 고박사의 소아물리학 채널에서 뒤집기되집기 운동을 매일 해보세요."
"16개월 아기 음악에 집착하는데요… 아침에 눈뜨자마자 노래 틀으라고(스피커에) 삿대질해요.. 요맘때 특유의 짜증과 함께…….
그리곤 박수치고 댄스댄스….
그런데요…
동시에 음악 나오는 다른 장난감도 켜놓고(스스로..) 안되면 소리나게 해달라하고요…
그리고 음악 나오면 또 댄스…
아기가 음악에 너무 집착하는 느낌일까요..? ㅠㅠ
감각추구하는 것처럼 귀에 갖다대고 소리에 집중하고 그런건 아니라… 그저 박수치고 춤추는데요…
한가지에 너무 집착하는 모습일까봐… 걱정되네요..","흥 많은 아기들 있어요 너무 걱정 안하셔도 될거 같아요
저희 아기 돌 지나고 딱 그맘때 노래만 나오면 바운스바운스 춤 엄청 췄어요 그때 한참 춤 출시기인거 같아요 , 한가지 음악에 집착하는것도 아니고 소리만 나오면 춤추는거 너무 귀엽지 않나요"
