question,answer
7개월남아 발달놀이 추천해주세요,혼자서 일어서면서 잡고 서려고해요 그럼 아직 혼 자세가 흔들리는거면 그냥 놀아주면되요! 다음주에 100일인데 혼 잡히고 서는거 했어요 잡아주지말아요 아직 못하는거라 잡어주지마세요 저희아기도 잡으려고하더니 잡으면 엄청 힘들어해요
궁금해요 2401월생 엄마입미당 아가 돌보면서 집에서 뭐하세요 매일 아가보고 집안일하고 하면 시간이 후딱가는거같긴한데 다른일 하시는분 계세요,저는 둘째 낳고나서부터 집안일에 정신이 안나와서 둘 다 둘다 아기 옆에 있어요 ㅋㅋㅋ
자기주도식 식사 질문이요 이제 딱12개월 되었는데 자기주도 식사가 어려워요 그래서 그냥 먹여주고 있는데 아직그래도 괜찮겟지요,자기도 하고 먹이기도 해야해요 숟가락을 잡고 흔들고하면 줘보세요 자기 주도 식은 빨대 컵에 줘 보세요 빨대로 빨려고 노력할때가 있어요 저희 애기는 10개월부터 했어요
아기가 갑자기 밥을 안씹어요 16개월이고 유아식 잘먹던아기고 지금도 잘먹긴해요 근데 어느순간부터 안씹고 자꾸 입안에 음식들이 머물러있어요  그래서 밥먹이는데에 너무 오래걸려요 30분은 기본 혹시 이것도 이가나서 불편해서 그럴수있윽까요 아님 다른 문제일까요,아 그렇군요 저도 걱정이었는데 답변감사합니다
돌잔치 한복 대여할라는데 사이즈 어렵네요  아기가 9개월인데 13키로고 키도 73좀 넘고 큰편이에요 그래서 이전에 100일 셀프상에 딸려온 한복도 단추가 안잠겼거등요 이번 돌잔치도 한복 인터넷으로 빌릴려는데 돌 아기 한복은 1호가 돌인데 10키로까지 권장한다 하고 2호는 길이가 길거 같고 가서 입어보고 대여하는 방법뿐인걸까요,140-150 사이즈로 대여하시면 될거에요.
슬슬 봄옷 사야하는데 재질 궁금합니다 23년 10월생 아기구요 봄되면 56개월쯤 되네요 외출할때 실내복에 우주복롬퍼 입혀서 돌아다닐건데 재질은 얇은 플리스가 좋나요 실내복과 같은 면재질이면 충분한가요 아니면 외출복 조합 추천좀 해주세요 첫아이라 아무것도 모르네요 34월 기준 아침저녁으로 쌀쌀할때 기준이요 더 따뜻해지면 레깅스에 원피스도 입힐거에요,얇아서 더 싸매면 된다고 생각하고 아기가 울면 벗겨줄수 있게 편한거 샀어요
돌 이후로 교구장 어떤거 많이 쓰시나요 이사가명 교구장을 하나 들일까 싶은데오래 쓸 수 있는 교구장 있으면 추천 좀 부탁드려요_,오감발달놀이 교구 많이 들여서 오감교구를 담을 수 있는 폴더형 교구놀이 넣어두면 좋을거 같아요~
낮잠1 깼다가 30분만에 다시 잠들었는데 낮잠123을 평균 35분만 자는 6개월 아기입니다 밤잠은 어느정도 자주는거 같은데 낮잠을 항상 2시간을 못자요 구나마 낮잠1이 연장 될때도 있어서 하다가 정말 오랜만에 오늘 연장 성공했어요 30분만에 다시 잠 들어서 자는데 이 잠도 낮잠1로 봐야하나요,100일때는 3번 낮에 자던 아기인데 요즘은 2번 자네요 낮 잠을 3시간 못 넘기면 안되요. 낮에는 3 시간은 꼭 자야 밤에 좀 잘 자더라구요.
새 실물 그림 있는 책 아시는분 제발 도와주세요,전 이거 그런거 샀는데 책상에 꾸며놨는데 엄청 잘보고 있어요
아파서 밥 안 먹는 아기 괜찮을까요 3월부터 어린이집 다니고 있는데 3주째 감기가 나았다 걸렸다 반복하더니 중이염까지 왔네요 밥도 죽도 다 먹뱉이에요 그나마 먹는건 식빵이랑 고구마랑 과일종류 일주일 넘게 밥을 안 먹는데 괜찮을까요 ,"밥안먹어도 괜쌌어요 그래도 과일이나 빵, 고구맘같은거 먹으니 괜히 걱정마세요"
뒤통수 짱구 극복 어떻게 할까요 옆으로도 재우고 터미타임도 시키는데 이미 뒤통수가 납작해졌으면 어떻게 해야 할까요 셀프로 교정해보신 분 계신가요,터마타임은 매일 시켜주세요. 아기가 앉을 수 있으면 앉히고 앉아있게 옆에서 육아하세요. 11개월인데 저도 터머타임 하고있어요. 터모타임을 좀 더 늦게 시켜도 되는거 같아요. 그때쯤은 앉으려고 하면서 엎드려서 앉기도 하더라구요.
8시에 재우고 엄마 부르면 금방온다고 했는데요 자다깨서 엄마찾아서 오니다시 누워서 3초만에 자요 가끔깨도 엄마오자마자 다시 자는데요 이런 아기들 있나요,저희 아기는 6갤인데 8시간 통잠 자요!
에르 옴니브리즈 써보신 분이요 다른 아기띠랑 비교해서 어떤가요 어깨끈 부드러운가요 포그는 직접 봤는데 좀 딴딴하고 두툼한 책가방 같아서 불편해보였어요 메쉬원단은 부드러운가요 베비뵨 미니는 저는 좀 거칠었던거같아서요 포ㅂㅡ도 메쉬원단이 부드럽긴 했는데 뭔가 내구성이 떨어져보였어요 진열상품이라 그런걸 수도요,"에로 사용중인데, 아기 13개월인데 이제 좀 큰편인데 아직 괜찮아요! 아기가 가벼운 편인데 괜히 부드려서 뭔지 걱정되었는데 튼튼한 편이에요! ㅎㅎ 아직 잘 쓰고 있어요!"
아기 울때 아기 수면교육 할때 제외하고도 아기가 울때 15분 기다렸다가 원하는것을 찾아주는 방법이 괜찮을까요 남편과 의견대립하여 여쭤봅니다 밥먹을 시간이 되었는데도 땡깡 부리는것 일수도 있다고 생각해서 15분뒤에도 계속 울면 달래주자는 남편의 의견과 저는 수면교육 시에만 15분 뒤에 가자는 저의 의견이 대립하여 댓글 참고해서 조율하려고 합니다,['아기가 아픈데 울고있다가도 10분 넘기면 아픈것도 찾아낼 수 없을거같아요..ㅠㅠ']
거실장위에 가벼운책장 올려놔도 될까요 티비다이로 거실장 쓰고 있었는데 아이가 생겨서거실장을 다른곳으로 이동해서 거실을 좀 크게 써야할거같아요 아무리 머리를 쥐어짜내도 안방은 자리가없고 남는자리는 태어날 아이방뿐인데 그위에 가벼운책장정도 올려두어서 책꽂이로 놓을까 싶어서요 버리기엔 산지 얼마안된거라 너무 아깝네요,아이방 위에 책장을 올려놓는 것은 안전상의 문제가 될 수 있으니 조심해야 합니다. 아이가 넘어가거나 책장이 무너질 수도 있으므로 책장은 다른 곳에 두는 것이 좋습니다.
어린이집 66 육아 휴직으로 엄마 아빠 모두 휴직중에도 어린이집을 다닐 수 있나요,네 육휴중이라도 다닐수 있어요!
48일차 아기 낮에 토끼잠 보통 8시쯤 재우면 밤에는 45시간 안깨고 잘 자는데 오전 9시경부터 낮에는 계속 토끼잠이에요 낮에 깊이 못자도 괜찮은걸까요,낮잠은 3시간 자고 밤잠은 한시간은 깨고 8시간 자요 깨시는 2시간정도 되구요 괜찬아요
아기가 태어난지 이제 30일 됐는데요 잘 못자서 얘기하니까 엄마가 푹신해야 잔다고 하시더라구요 아기 침대 좀 딱딱해야한다고 들었는데 푹신해야 잘 자나요 지금 이불매트 도톰한걸로 깔았는데 이게 맞는지 모르겠어요,아 기저귀 벗겨도 괜찮겠죠 ㅠㅠ 그래도 푹시해야 잘잔다는데 이게 좀 안좋나 싶어서요
안녕하세요 이제 9개월 된 아기 키우고 있어요 시댁 친정 모두 도움받기가 어려운 상황이라 70일쯤부터 오직 맘카페와 유튜브도움받아서 이유식도 만들어먹이며 어찌저찌 간신히 키우고 있는데요 나름 아기도 남편도 건강하게 해먹이려고 노력하고 혹시몰라서 열탕소독도 지금까지 해서일까요 점점 육아참여도가 높지않은 남편에게 화가납니다 잔소리 일절없고 말예쁘게하는게 기특해서 그냥 아들이다 생각하고 스트레스 안받아왔는데 요근래 가끔 주에 한번정도 아기 재워줄때 자꾸 화나요 그 이유는 자기가 힘들고 졸린데 애가 안자고 보채거나 자다깨서 우는데 잘 안달래지면 소리지르듯이 엄청 크게 노래를 부른다든지 애얼굴에 바람을 불어서 애를 놀래키는식으로 무섭게합니다 그 수많은 다른 날들을 저혼자 아기재우는데 원체 입면도 힘들고 중간깸이 있는 아기라 저는 거의 좀비처럼 살고있어요 그런데 그 하루를 못참아서 그러는게 화가나더라구요 그럼 그게 싫어서 결국 제가 재웁니다 완벽히 입면할때까지 제가 재워요 결과적으로 그냥 제가 다하는거죠 화내거나 뭐라하면 기죽어서 한3일은 또 잘합니다 근데 3일마다 잔소리할순없잖아요  다들 신랑이 큰아들이라고하는데 이건뭐 맏이도 아니고 막내아들 돈벌어오는 막내아들이다 생각하고 포기하면 편할까요 친정아버지가 평생 경제력이 없으셔서 저는 결혼할때 다른건 잘안보고 처자식안굶길것 하나만 봤으니 그렇게 한 제잘못이겠죠  휴직중이니 제가 육아살림전담하는게 맞다고 생각하는 남편 복직하면 달라질까요,"['아기가 화가 난거 같아요! 안아주고, 말로도 많이 안아줘요. 그러면서 제가 너무 화가 나서 잠시 나가서 마음 조절해요. 이게 엄마아빠를 위해서도 아가도 안해요..']"
아이들 간식 뭐 주세요 진짜 첫째는 아이주도 이유식 한다고 티딩러스크 분유빵 고구마볼 요런거 잘해서 간식으로 줬는뎅 음 둘째는 이유식도 시판에다가 간식도 걍 떡뻥만 주고 있네요 요즘 잘 먹어서 간식좀 제대로 챙겨주까하는뎅 아이들 간식 뭐 주세요 아이 이제 7개월이요 ,쌀가루에 고구 mạnh아 주고 있어요! 아이들 몸 좋아하고 잘먹어요
어깨 통증 없으신가요 4개월 아기 키우고 있어요 하루종일 안아주지는 않지만 안고 있을 상황이 매일 있다보니 점점 오른쪽 어깨가 아파오네요 어깨 통증 있으신 맘님들 어떻게 하시나요,아기들 안고 잇다보니 어깨통증은 필수인 것 같아요. 근육이랑 관절이 늘어나지 않아서 그런걸까요? 아기는 70일 넘었는데 아직 어깨아프진 않았네요. 저도 옆으로 누워서 재워야할 때가 있어요.
영유아검진이요 돌 지나서 가면 할 수 있는지 보는 항목들이 더 추가된다던데 아시는 분 있으신가요 발달선별 검사지 찾아봤는데 시켜뒀어야 할 것들이 넘 많더라구요 못하는 것도 많은 것 같은데 주변 비슷한 또래 아기들은 다 한다고 그러고 크게 마음 쓰지 않으려 하지만 괜히 결과가 안좋을까 미리 걱정되네요,"영검은 보건소에서 시키는거고, 소아과에서 시킬 수도 있구요."
90일아기 허그곰 탈출하다 밤잠은 허그곰으로 재웠는데 탈출하기 시작했어요 벌써 탈출이 가능한가요  허그곰 졸업하고  재워봅니다,졸리면 잠들고 탈 출하더라구요 졸 리면 탈 쳌해도 잠 든다 91일차 탈쳅해도 재워요 100일쯤 탈아웃하다가 또 잠시 허그 다시 잡아주고 재웠어요
이번주 구로 우리아이들병원 영검 이번주 구로 우리아이들병원 영유아검진 금요일 오전에 가는데 화요일에 가시는 분 중에 금요일 오전과 바꾸고 싶은 분 계실까요,금요일에요.
알레르기일까요  이유식 중이에요 먹이는 동안 괜찮았는데 오늘부터 갑자기 났어요 알레르기 일까여  온몸이 그래요,"엄마도 아기도 걱정되시겠지만 이유식이랑 그런 경우는 많아요. 알레루기일 가능성도 있겠지만, 이유시기가 아기의 내장기관 발달에 부합하지 않거나, 아기가 배송할때가 아닌 상태로 이유를 시작한 경우도 있을 수 있어요. 아이가 먹는 양과 횟수를 늘리면서 알레로기 반응이 나타나는 경우도 있습니다. 이유 식 시작 직후에 이런 증상이 나타난다면, 의사에게 상담하고 적절한 조치를 취하는 것이 중요합니다."
