tag,age,experience,gender,child_age,season,special_situation,question
병원,30대 후반,초보,아빠,1세,봄,일반,"""아이가 최근에 봄철 알레르기 증상을 보이는데, 이에 대한 안내 및 치료 방법에 대해 상세히 설명해주실 수 있을까요?"""
병원,20대 후반,둘째를 키우는,엄마,1세,겨울,쌍둥이,"""1세 쌍둥이 자녀를 겨울에 키우면서 감기 예방을 위해 어떤 조치를 취해야 할까요?"""
병원,30대 초반,둘째를 키우는,엄마,0세,여름,쌍둥이,"""쌍둥이 자녀를 키우면서 여름철 잘못된 옷차림 때문에 열이 뜬 경우, 병원 방문이 필요한가요?"""
병원,30대 후반,초보,아빠,0세,겨울,일반,"""겨울에 실내에서 아기가 감기에 걸릴까봐 걱정이에요. 아기 감기 증상을 어떻게 알 수 있고, 처리법이 있을까요?"""
병원,30대 후반,둘째를 키우는,아빠,1세,겨울,장애아,"""한의원 방문 시 어린이 친화적 시설 확보 가능한가요? 우리 아이가 식이알레르기 때문에 안전한 공간이 필요합니다."""
병원,20대 후반,둘째를 키우는,아빠,0세,가을,장애아,"""가을에는 아이의 알레르기 증상을 관리하기가 힘들어요. 특히 이웃 아이들과의 야외 활동 때 더 걱정돼요. 병원에서 알레르기 관련 상담을 받을 수 있는 방법이 있을까요?"""
병원,20대 후반,초보,아빠,2세,여름,장애아,"""내 아이가 더위소통장애로 고통스러워해요. 여름철 병원에서는 냉방 시설이 충분한가요?"""
병원,30대 후반,둘째를 키우는,엄마,1세,여름,쌍둥이,"""쌍둥이 아이들이 여름에 특히 더위 속에서 건강이 걱정되는 상황인데, 열이 의도적으로 높은 수준을 유지할 때 어떤 증상이 주의해야 할까요?"""
병원,30대 초반,둘째를 키우는,아빠,0세,겨울,장애아,"""겨울에 감기 조심해야 하는데, 아이의 열이 잘 안 내리네요. 어떤 경우 응급실을 방문해야 할까요?"""
병원,30대 후반,둘째를 키우는,아빠,1세,봄,일반,1세 아이가 봄철에 미세먼지로 인해 기침이 심해요. 증상 완화를 위해 병원 방문이 필요할까요?
아기 용품,20대 후반,초보,엄마,0세,여름,일반,"""여름철 땀을 많이 흘리는데, 아기용 물티슈로 피부를 자주 닦는 것이 좋을까요?"""
아기 용품,20대 후반,둘째를 키우는,엄마,0세,여름,일반,"""이번 더위 속에서 아기의 피부 건강을 위해 어떤 햇빛 차단제를 선택하는 게 좋을까요?"""
아기 용품,30대 후반,둘째를 키우는,아빠,2세,여름,장애아,"""여름에 아들이 땀을 많이 흘리면서 옷을 자꾸 젖는데, 이에 대처하기 위해 유용한 흡수력 좋은 아기 수건 추천 좀 해주세요."""
아기 용품,30대 초반,초보,엄마,1세,봄,일반,"""어린이집에서 봄에 아이들이 활발해지면서 자녀가 실내보다는 밖에서 더 많은 활동을 즐기게 될 것 같아요. 그래서 이번에 아이를 위한 안전한 외출용 알레륌 방지제를 구매해야 할까요?"""
아기 용품,20대 후반,초보,아빠,2세,여름,일반,"""여름에 땀 많이 흘리는데, 아이들에게 시원하게 유모차에 태울만한 통풍이 좋은 쿨매트 추천해주세요."""
아기 용품,30대 초반,둘째를 키우는,아빠,0세,겨울,일반,"""겨울에 아이를 따뜻하게 할 때 유용한 아이용 에어프라이어 추천해 주실 수 있을까요?"""
아기 용품,30대 초반,초보,아빠,2세,가을,장애아,"""2세 아이를 가을 날씨에 실내에서 활동시키기 위해 유용한 장난감이 뭐가 있을까요?"""
아기 용품,30대 초반,초보,엄마,0세,여름,일반,"""여름에 땀 많이 흘리는 우리 아기를 위해 시원하게 입을 수 있는 편한 아기 옷은 어떤 종류가 좋을까요?"""
아기 용품,30대 후반,둘째를 키우는,엄마,0세,봄,일반,"""봄철 미세먼지 걱정이 큰데, 아기를 보호할 수 있는 안전한 방역용품은 무엇이 있을까요?"""
아기 용품,30대 후반,둘째를 키우는,아빠,2세,여름,장애아,"""아이가 땀 많이 흘리는데, 쿨매쉬 소재의 어린이 카시트를 구매해야 할까요? 무슨 브랜드가 좋을까요?"""
의학 정보,30대 초반,초보,엄마,0세,여름,일반,"""아기가 땀 많이 흘리는 여름, 온모 어떻게 관리해야 할까요?"""
의학 정보,30대 초반,초보,엄마,0세,가을,일반,"""가을에 감기 예방을 위해 0세 아이가 필요한 영양소는 무엇인가요?"""
의학 정보,30대 후반,초보,엄마,2세,가을,일반,"""제 자녀가 최근에 가을 알레르기 증상이 심해지는 것 같아 걱정돼요. 2세 아이에게 알레르기 증상을 완화시키는 자연 요법이 있을까요?"""
의학 정보,30대 후반,둘째를 키우는,엄마,1세,여름,일반,"""여름에 땀을 많이 흘리는데, 1세 아이가 열이 더 올라도 얼마까지 안정한 범위일까요? 주의할 점이 있을까요?"""
의학 정보,30대 후반,초보,엄마,0세,겨울,일반,"""겨울에 갑자기 온모양한 옷을 입히니 아기가 감기에 걸릴까요? 어떤 옷차림이 적당할까요?"""
의학 정보,30대 초반,초보,아빠,0세,겨울,일반,"""저희 아기가 겨울에 건강을 유지하는 데 도움이 되는 영양소가 무엇인가요? 특히 기침과 가래가 심해질 때 도와줄 음식이 있을까요?"""
의학 정보,20대 후반,초보,아빠,0세,겨울,다문화 가정,"""겨울에 감기 예방을 위해 자녀를 어떻게 보호해야 할까요?"""
의학 정보,30대 초반,초보,엄마,0세,겨울,일반,"""제 0세 아기가 겨울에 감기에 걸린다면 어떤 증상을 주의해야 할까요? 예방법 있는지 알려주세요."""
의학 정보,30대 초반,둘째를 키우는,아빠,1세,봄,일반,"1세 아이가 입원하면서 간헐적으로 발생하는 열 때문에 걱정 중인데, 봄철 증상인지 궁금합니다."
의학 정보,30대 후반,둘째를 키우는,엄마,2세,봄,일반,"2세 딸이 감기에 걸렸을 때, 감기에 대한 정보와 치료법 중에 어떤 것이 최선인지 알려주세요."
태몽,20대 후반,둘째를 키우는,아빠,0세,여름,일반,"""요즘 아이가 잠을 자기 전에 계속 울면서 잠이 안 와요. 이런 태몽이 있을까요?"""
태몽,30대 후반,둘째를 키우는,엄마,0세,여름,일반,"""여름이라 땀 많이 흘리는데, 아기 태 몽이나 생활 패턴이 어떻게 변화할까요?"""
태몽,30대 초반,초보,엄마,0세,봄,일반,"""아기가 꽃을 품에 담으면서 웃는 꿈을 꿨어요. 이 태몽이 뜻하는 바가 뭘까요?"""
태몽,20대 후반,둘째를 키우는,엄마,0세,여름,일반,"""최근에 아기가 꿈을 집중해서 보는데, 태몽에서 이는 어떤 의미가 있을까요? 독자적인 꿈해석이 있을까요?"""
태몽,30대 초반,둘째를 키우는,엄마,0세,여름,장애아,"""열정적으로 마음을 담아 0세 아이를 돌본다. 꿈에서 아이가 놀이를 하며 웃는 것을 보았는데, 이것이 무슨 의미일까요?"""
태몽,30대 초반,초보,아빠,0세,여름,쌍둥이,"""쌍둥이 아이들이 항상 함께 울면서 자고 있어요. 자면서 서로 괴롭히진 않을까요?"""
태몽,20대 후반,초보,엄마,0세,봄,일반,"봄바람이 살랑살랑 부는 꿈에서, 갑자기 이불 속에서 깨어난 엄마는 아이에게 기대어 우는 꿈을 꾸었습니다."
태몽,20대 후반,초보,엄마,0세,여름,일반,"""태아가 제 몸 속에서 나올 때 처럼 따뜻하고 쾌적하게 느껴졌어요. 이 꿈이 어떤 전조일까요?"""
태몽,30대 초반,초보,아빠,0세,여름,일반,"""아기가 잠을 자다가 깬 날, 왜 울면서 일어났을까? 온몸을 감싸는 땀에 더웠을까?"""
태몽,20대 후반,초보,엄마,0세,겨울,장애아,"""자녀가 겨울에 태몽할 때 장갑을 빨리 잃어버리는 것은 무슨 의미인가요?"""
사주,30대 초반,초보,엄마,1세,가을,일반,"""가을 바람이 식히고 있습니다. 자녀가 추위를 느끼게 되지 않도록 신경 쓰이네요. 자녀를 따뜻하게 옷으로 감싸는 팁이 있을까요?"""
사주,20대 후반,둘째를 키우는,아빠,2세,가을,일반,최근 휴일에 아이들과 야외 활동을 즐기러 나갔다가 예상치 못한 상황으로 인해 고민이 생겼습니다. 이런 부모의 고민을 기반으로 한 사주 질문이 필요할 것 같습니다.
사주,30대 초반,초보,엄마,1세,가을,일반,가을 동안 아이가 더 자주 감기를 앓을 수도 있나요? 그럴 땐 어떤 예방법이 좋을까요?
사주,30대 초반,둘째를 키우는,엄마,1세,겨울,쌍둥이,"""1세 쌍둥이 자녀를 동시에 돌봐야 하다보니 부담스럽고 지치시죠. 이런 일상에서 염두에 두는 사주 또는 조언이 있나요?"""
사주,20대 후반,둘째를 키우는,엄마,2세,여름,장애아,"""최근에 날씨가 더워져 힘든 것 같아요. 자녀와 함께 더위 대비하려면 무엇을 미리 준비해야 할까요?"""
사주,20대 후반,둘째를 키우는,아빠,2세,가을,일반,"""가을에 날씨가 쌀쌀해지는데, 우리 막내가 추위를 많이 타나봐. 따뜻하게 옷을 입히는 것 이외에 더 좋은 대책이 있을까요?"""
사주,20대 후반,초보,아빠,2세,가을,일반,"""최근에 자녀가 잠을 자지 않고 울음소리가 많이 들려요. 이유를 파악하고 해결하는 방법이 무엇일까요?"""
사주,30대 초반,둘째를 키우는,아빠,1세,여름,장애아,"""어린이를 더 잘 이해하고 지원하기 위해 노력하는데, 최근 1세 자녀의 소행에 대해 어떤 상황이 더 큰 이해와 참여를 요구할까요?"""
사주,20대 후반,둘째를 키우는,아빠,2세,여름,일반,"""최근에 자녀가 수영장에서 미끄러지는 사고를 당해 걱정이 많아요. 앞으로 이런 상황을 예방하기 위해 어떤 조치를 취해야 할까요?"""
사주,20대 후반,초보,엄마,1세,가을,장애아,"""가을 날씨로 인해 자녀가 감기에 걸릴까봐 걱정되네요. 어떻게 하면 감기 예방을 잘 할 수 있을까요?"""
별자리 운세,30대 초반,둘째를 키우는,엄마,1세,가을,쌍둥이,"""내 아이들의 별자리 운세를 보니, 쌍둥이들은 혼자서도 할 수 있는 일들에 능숙해질 거라고 하는데, 이대로만 놔둬도 돼?"""
별자리 운세,20대 후반,초보,아빠,2세,가을,일반,"""가을이야말로 아이들과 함께 별자리 구경하기 좋은 계절인데, 우리 자녀의 미래가 밝을까요? 별자리 운세를 통해 안도감을 얻을 수 있을까요?"""
별자리 운세,30대 후반,둘째를 키우는,엄마,2세,겨울,쌍둥이,"""쌍둥이 아이들을 돌보느라 힘든 겨울을 보내고 있어요. 저의 별자리 운세는 이 어려운 시기를 어떻게 지낼지에 대해 도움을 줄까요?"""
별자리 운세,20대 후반,둘째를 키우는,엄마,2세,여름,일반,"""2세 자녀를 돌보며 여름 휴가를 계획 중인데, 자녀와의 소통에 어려움을 느낀 적이 있습니다. 이번 여름, 우리 가족에게는 어떤 별자리 운세가 기다리고 있을까요?"""
별자리 운세,20대 후반,초보,엄마,1세,겨울,일반,"""요즘 아이가 밤잠을 설치는데 고생스러워요. 자녀의 별자리 운세에 따라 더 편히 잠자게 할 방법이 있을까요?"""
별자리 운세,30대 초반,둘째를 키우는,아빠,2세,여름,일반,"""아이들의 장난기가 어느 정도 제한을 요구할 때, 당신의 인내심은 별자리 운세에 어떤 영향을 줄까요?"""
별자리 운세,30대 후반,초보,아빠,1세,여름,쌍둥이,가끔 밤에 쌍둥이 자녀가 잠이 안와 걱정스럽습니다. 이런 상황에서 어떤 별자리 운세가 제게 행운을 가져다줄까요?
별자리 운세,30대 후반,둘째를 키우는,엄마,2세,봄,일반,"""봄에 태어난 우리 아이의 별자리가 어떻게 영향을 받을까요? 최근에 날씨 변화로 아이가 예민해보이는데, 별자리 운세에 따른 조언이 궁금합니다."""
별자리 운세,20대 후반,둘째를 키우는,엄마,2세,봄,일반,"""내 아이의 봄처럼 활기찬 에너지가 부족해 보여요. 이때 별자리 운세에 따라 더 긍정적이고 밝은 에너지를 얻을 수 있을까요?"""
별자리 운세,30대 초반,둘째를 키우는,엄마,1세,겨울,일반,"""최근 우리 아기가 밤에 잠을 깨어요. 이 무슨 의미일까요? 아이의 별자리 운세에 따라 이 행동이 뜻하는 바가 있을까요?"""
십이지 운세,20대 후반,둘째를 키우는,엄마,2세,여름,일반,"""이번 여름, 2세 자녀의 야외 활동때문에 걱정이 많아요. 한 가지 해결책을 제시해 줄 십이지 운세는 무엇일까요?"""
십이지 운세,30대 후반,둘째를 키우는,엄마,1세,봄,일반,"""내 아이의 행동이 예상하기 어려워요. 봄철 운세에 따르면, 어떻게 하면 아이의 감정을 더 잘 이해하고 지지할 수 있을까요?"""
십이지 운세,30대 후반,둘째를 키우는,엄마,1세,봄,일반,"""내 아이가 최근에 새로운 일에 적응을 못하고 우는 경우가 많아요. 이런 상황이 어떤 변화를 야기할까요?"""
십이지 운세,20대 후반,초보,엄마,2세,봄,일반,"""2세 자녀와의 관곈에 고민 중인데, 봄날씨에 힘든 일들이 많네요. 이번 달 자녀와의 소통이 더 원활해질까요?"""
십이지 운세,30대 후반,둘째를 키우는,엄마,1세,겨울,일반,"""내 아이가 요즘 자기 의사를 확실히 내던지며 고집이 세져서, 이건 성장 단계일까요? 어떻게 대처해야 할까요?"""
십이지 운세,20대 후반,둘째를 키우는,엄마,2세,봄,일반,"""최근에 자녀의 꾸준함이 떨어져 걱정이 많아졌습니다. 이때 앞으로의 성장은 어떨까요?"""
십이지 운세,30대 초반,둘째를 키우는,엄마,1세,가을,다문화 가정,"""가을철 1세 자녀와의 소중한 시간을 보내던 중, 다문화 가정에서의 고민이 생겼어요. 운세 상 어떤 조언을 받아야 할까요?"""
십이지 운세,30대 후반,초보,엄마,1세,겨울,일반,"""최근에 자녀가 졸음 시 항상 우는 게 고민이에요. 이를 해결할 방법이 있을까요?"""
십이지 운세,30대 후반,초보,엄마,1세,가을,쌍둥이,가을에 맞춰 쌍둥이 아이들의 첫 생일 준비가 복잡하네요. 이번 달은 어떤 일들이 기다리고 있을까요?
십이지 운세,30대 후반,초보,엄마,1세,가을,일반,"""가을철 여행 계획이 무산되어 마음이 무거웠던데, 이번 주에 기분 전환을 위한 새로운 활동을 시작해보는 것이 좋겠어요?"""
부모 고민 상담,30대 초반,둘째를 키우는,엄마,0세,봄,일반,"""최근 아이가 잠이 안오는 날이 빈번한데, 어떻게 하면 자연스럽게 수면 패턴을 조절할 수 있을까요?"""
부모 고민 상담,30대 초반,둘째를 키우는,엄마,2세,가을,일반,"""가을에 자녀가 활동량이 많아져 에너지 소비량이 증가하는 것 같아요. 이에 따라 영양 섭취에 대해 걱정되는데, 어떻게 해야 할까요?"""
부모 고민 상담,20대 후반,둘째를 키우는,엄마,2세,여름,일반,"""여름 휴가 때 유모차를 들고 가기 힘들어서 고민 중인데, 즐거운 휴가를 위해 유모차를 대신할 아이들과의 실용적인 즐길 거리가 있을까요?"""
부모 고민 상담,30대 초반,둘째를 키우는,아빠,0세,가을,다문화 가정,"""가을이라 실내 활동이 많이 늘어나는데, 다문화 가정에서 자녀의 언어 습득에 어려움을 겪고 있어요. 언어 발달을 돕는 효과적인 방법이 뭘까요?"""
부모 고민 상담,20대 후반,둘째를 키우는,엄마,2세,여름,일반,"""여름철에 2세 자녀와 함께 놀이터나 공원에 나갈 때, 땀을 많이 흘리는데 어떻게 해야 할까요?"""
부모 고민 상담,30대 후반,초보,엄마,0세,봄,일반,"""어떻게 하면 아기와 함께 봄 날씨를 즐기며 밖에서 즐겁게 활동할 수 있을까요? 아기의 피부 보호와 외출 준비에 대한 조언이 필요해요."""
부모 고민 상담,30대 후반,둘째를 키우는,아빠,2세,여름,쌍둥이,"""쌍둥이 육아로 인한 스트레스를 어떻게 효과적으로 관리할 수 있을까요? 두 아이의 에너지 소비량에 따라 마음이 피곤해지는 요즈음..."""
부모 고민 상담,30대 초반,초보,엄마,0세,겨울,다문화 가정,"""겨울에 아기 피부 건강 관리가 어려워요. 다문화 가정에서 적합한 보습제 추천 부탁드려도 될까요?"""
부모 고민 상담,30대 후반,초보,아빠,0세,여름,일반,"""아기가 더위를 많이 느낄까봐 여름에 어떻게 차가운 식사를 제공할지 고민이에요. 시원한 음식 아이디어가 있을까요?"""
부모 고민 상담,30대 초반,둘째를 키우는,엄마,2세,가을,다문화 가정,"""어떻게하면 2세 아이와 가을 날씨에 실내에서 즐거운 시간을 보낼 수 있을까요? 활동 아이디어나 자녀와의 소통 방법이 궁금합니다."""
예방 접종,20대 후반,초보,아빠,0세,여름,장애아,"여름철 더위로 인해 더 위험해질 수 있는 병들이 있던데, 우리 아이가 어떤 예방 접종을 받아야 하는지 알려주실 수 있을까요?"
예방 접종,30대 초반,둘째를 키우는,아빠,0세,겨울,일반,"""제가 두 아이를 키우는데 이미 시간이 많이 걸리는데, 겨울철에 0세 아이에게 필요한 추가 예방접종이 있는지 알고 싶습니다. 어떤 접종이 필요한가요?"""
예방 접종,30대 후반,둘째를 키우는,엄마,0세,여름,일반,"""여름철에 더위로 인해 아기의 피부 건강이 걱정되네요. 아기를 위해 필요한 일일 태양광을 최소화할 수 있는 예방 접종은 무엇이 있을까요?"""
예방 접종,20대 후반,둘째를 키우는,엄마,1세,여름,일반,"""여름철 더위로 인해 1세 자녀의 피부 건강을 걱정하고 계신가요? 특별한 예방주사나 조치를 취하고 계신가요?"""
예방 접종,30대 후반,초보,엄마,2세,가을,일반,"""가을철에 2세 아이들은 독감 예방주사가 필요한가요? 아프면 병원에 가야하니 예방에 신경을 써야 하는데, 독감 예방주사가 꼭 필요한지 궁금해요."""
예방 접종,20대 후반,둘째를 키우는,아빠,1세,여름,일반,"""여름에 특히 중요한 예방 접종이 있는지 알고 싶어요. 1세 아이가 더위에 영향 받지 않도록 도와주고 싶어요."""
예방 접종,30대 후반,둘째를 키우는,아빠,2세,여름,장애아,"""아이들의 여름 캠프 참여가 예정되어 있는데, 더위로 인한 탈수 예방을 위해 추가 접종이 필요한가요?"""
예방 접종,30대 후반,초보,엄마,2세,겨울,일반,"""겨울에 자녀를 보호하기 위해 중요한 예방접종이 뭔가요? 커다란 경제적 부담을 줄이면서도 보호받을 수 있는 방법이 있을까요?"""
