"Question","Answer"
"잠복 고환인데 어떻게 하죠?","고환의 생리적 기능상 정자형성 장애 및 조직변화가 3세부터 인지될 수 있고 혹시 있을 수 있는 악성화의 배제 및 심리적 손상 및 염전이 쉽게 일어날 수 있으므로 교정술은 6개월~1세에 행하는 것이 적기입니다."
"호흡기 질환 종류","급성 후두염
면역이 약해 바이러스나 세균에 의해 감염이 생기거나 여러 가지 요인으로 후두에 생기는 염증 증상 : 쉰 소리, 그르렁거리는 소리, 마른기침과 발열, 목소리 갈라짐, 호흡곤란, 새벽 2-3시경 발작 증세를 보일 수 도 있습니다.
기관지염
바이러스에 의해 발생, 늦은 가을에서 초겨울 사이 자주 발생 증상 : 심한 기침, 가래, 콧물, 거친 호흡, 악화되면 탈수현상과 폐렴으로 발전할 수 있음
편도선염
연쇄상구균, 포도상구균 등 세균이 목구멍에 번식하여 발병, 편도선이 큰 아기 일수록 발병률 높음 증상 : 갑작스런 고열, 두통, 인후통으로 인한 연하곤란 코 막힘 치료 : 항생제, 해열제, 부드럽고 소화가 잘 되는 유동식, 충분한 수분섭취
천식
차고 건조한 겨울철에 호발하는 알레르기성 질환으로 바이러스, 독감, 대기오염, 찬공기 등 여러 가지 원인들이 기관지를 자극해 염증이 생기며, 가족력이 있습니다.
증상 : 기관지 구멍이 협착되면서 가래가 생김, 호흡곤란, 숨 쉴 때마다 쌕쌕 거리는 호흡음, 심한 기침, 재발성입니다.
치료 : 알러지 원인 제거, 심한 기침과 천식 발작 시 팔을 등 뒤로 돌려 가슴에 체중이 실리지 않도록 해주고 증상이 심하면 응급처치를 해야 합니다.
폐 렴
바이러스나 세균에 의해 발병 증상 : 감기와 비슷(고열, 호흡곤란, 기침) 호흡수 상승, 얼굴과 손발창백, 식욕감퇴, 구토, 설사 동반한 오한, 고열 치료 : 입원치료, 주변온도 20도 전후 유지, 습도 40-60%, 심한 호흡 곤란 시 산소 흡입, 충분한 수분섭취, 손바닥을 오므려서 규칙적으로 등을 두드려줘서 폐 속에 고여 있는 분비물을 배액 시키는데 도움이 되도록 한다."
"어른 침대에서 뒤집기 잘하다가 떨어 졌어요","이만한 나이의 아기들은 항상 조심하셔야 합니다. 아기가 떨어졌다고 모두 정밀검사가 필요하지는 않습니다. 침대에서 떨어진 후 약72시간은 아기의 상태를 면밀히 관찰하시기 바랍니다. 아기의 상태가 평상시와 다른 점이 없는지 신체부위에 불편함을 호소하지 않는지등에 대해서 의식소실이 있거나 반복적인 구토, 심하게 보채거나(달램에 전혀 반응 없이 보챌 때) 찢어지는 목소리로 운다거나 반대로 늘어져있는 경우라면 꼭 정밀검사가 필요하니 병원을 방문하시길 바랍니다."
"자꾸 열이 나요?","아기의 체온이 열 인지부터 확인하는 것이 우선입니다. 우선 아기의 체온이 몇도 인지 정확히 측정 하십시오. 귀로 재었을 때 37.4℃ 이상을 미열이라고 하고 38℃ 이상을 열이라고 합니다. 계속적으로 열이 있을 경우에는 열의 원인이 무엇인지 검진을 받으시는 것이 좋습니다. 원인을 해결하지 않은 채 해열제를 먹이는 것은 위험합니다"
"아기가 팔과 다리를 떨거나 자주 깜짝 깜짝 놀라는 것은 경기이므로 우선 기응환을 먹여야 하나요?","신생아 경기는 원인에 따라 양상이 다르므로 전문의의 진찰이 필요합니다. ‘기응환‘이 경기 치료에 효과적인 지는 의학적으로 알려진 바 없으며 정말 경기일 경우 오히려 기도로 흡인 될 수 있어 무엇이든 먹는 것이 해로울 수 있습니다."
"아기가 재채기를 하고 감기에 걸렸나 봐요. 어떻게 하지요?","호흡기내로 들어온 이물질을 밖으로 배출하는 것이므로, 아기가 재채기를 하는 것이 꼭 감기라고는 할 수 없습니다. 그러나 기침을 유난히 많이 한다거나 노란콧물을 동반할 때는 전문의의 진료를 받는 것이 좋습니다."
"아기를 심하게 흔들어주면 위험한가요?","미국의 소아과학회에서는 6개월 이전의 아기의 머리를 심하게 흔들면 뇌 시신경등에 손상을 줄 수 있기 때문에 주의하라고 경고하였습니다."
"아이가 열이나요, 왜 그러죠?","너무 덥게 했을 경우도 열이 납니다. 체온계로 재서 38℃이상이면 베냇저고리만 입히시고 한 시간 후 체온을 재었을 때 38℃ 이상이면 병원에 오십시오."
"아기가 몸을 자꾸 떠는데 왜 그러나요?","간혹 아기들 중 몸을 떠는 경우가 있으나 경련과 구별하는 것이 중요합니다. 경련은 1~2분 동안 (혹은 그 이상)몸이 경직되거나 반복적으로 흔들림이 지속됩니다. 팔 혹은 다리를 잡았을 때 도 지속되면 가까운 병원응급실에 가셔야 합니다. 그리고 숨을 잘 쉴 수 있도록 해주세요. 경련 중 토할 때는 아기의 고개를 옆으로 돌려 기관지로 이물질이 넘어가는 것을 막아야 합니다."
"감기는 찬바람을 쐬거나 찬물에 씻겨서 걸리나요?","감기는 바이러스가 일으키는데 찬바람이나 찬물에 의해서가 아니라 접촉을 통하여 전염하므로 외출에서 돌아온 부모는 손을 씻고 양치질을 한 후에 아기를 돌봐야 합니다. 갑자기 추운환경에 노출되면 원래 가지고 있던 바이러스에 대한 저항력이 약해져 갑자기 기침을 하거나 콧물을 흘리는 경우도 있습니다."
